Event	Sample label	Depth corr cr [crmcd]	Age [ka BP]	Age opt [ka] (Option 1: insolation-tuned ag...)	Age opt [ka] (Option 2: Mediterranean-tuned...)	C. wuellerstorfi d18O [per mil PDB]	C. wuellerstorfi d13C [per mil PDB]	C. mundulus d18O [per mil PDB]	G. bulloides d18O [per mil PDB]
339-U1385D	339-U1385D-15H-5,26-27	145.41	1290.77	1286.39	1289.34				1.12
339-U1385D	339-U1385D-15H-5,27-28	145.42	1290.89	1286.49	1289.47	3.48	0.19		1.06
339-U1385D	339-U1385D-15H-5,28-29	145.43	1291.02	1286.58	1289.61				1.07
339-U1385D	339-U1385D-15H-5,29-30	145.44	1291.15	1286.68	1289.74				1.16
339-U1385D	339-U1385D-15H-5,30-31	145.45	1291.27	1286.78	1289.88	3.66	0.25		1.14
339-U1385D	339-U1385D-15H-5,31-32	145.46	1291.40	1286.87	1290.01	3.53	0.24		1.19
339-U1385D	339-U1385D-15H-5,32-33	145.47	1291.53	1286.97	1290.15				1.17
339-U1385D	339-U1385D-15H-5,33-34	145.48	1291.65	1287.07	1290.28	3.54	0.17		1.26
339-U1385D	339-U1385D-15H-5,34-35	145.49	1291.78	1287.16	1290.41	3.56	0.09		1.40
339-U1385D	339-U1385D-15H-5,35-36	145.50	1291.91	1287.26	1290.55	3.58	0.05		1.56
339-U1385D	339-U1385D-15H-5,36-37	145.51	1292.03	1287.35	1290.68				1.50
339-U1385D	339-U1385D-15H-5,37-38	145.52	1292.16	1287.45	1290.82	3.59	0.27		2.17
339-U1385D	339-U1385D-15H-5,38-39	145.53	1292.29	1287.55	1290.95	3.49	0.20		2.14
339-U1385D	339-U1385D-15H-5,39-40	145.54	1292.42	1287.64	1291.09	3.62	-0.12		2.23
339-U1385D	339-U1385D-15H-5,40-41	145.55	1292.54	1287.74	1291.22	3.59	0.03		1.95
339-U1385D	339-U1385D-15H-5,41-42	145.56	1292.67	1287.84	1291.36	3.74	0.25		2.02
339-U1385D	339-U1385D-15H-5,42-43	145.57	1292.80	1287.93	1291.49	3.58	-0.02		1.94
339-U1385D	339-U1385D-15H-5,43-44	145.58	1292.92	1288.03	1291.63	3.64	-0.04		1.76
339-U1385D	339-U1385D-15H-5,44-45	145.59	1293.05	1288.12	1291.76	3.52	-0.11		1.46
339-U1385D	339-U1385D-15H-5,45-46	145.60	1293.18	1288.22	1291.90				1.82
339-U1385D	339-U1385D-15H-5,46-47	145.61	1293.30	1288.32	1292.03	3.61	0.04		1.29
339-U1385D	339-U1385D-15H-5,47-48	145.62	1293.43	1288.41	1292.17	3.36	0.03		1.54
339-U1385D	339-U1385D-15H-5,48-49	145.63	1293.56	1288.51	1292.30	3.55	0.21		1.65
339-U1385D	339-U1385D-15H-5,49-50	145.64	1293.68	1288.60	1292.44	3.38	0.18		1.67
339-U1385D	339-U1385D-15H-5,50-51	145.65	1293.81	1288.70	1292.57	3.47	-0.12		1.91
339-U1385D	339-U1385D-15H-5,51-52	145.66	1293.94	1288.80	1292.71	3.77	0.28		1.67
339-U1385D	339-U1385D-15H-5,52-53	145.67	1294.06	1288.89	1292.84	3.61	0.05		1.77
339-U1385D	339-U1385D-15H-5,53-54	145.68	1294.19	1288.99	1292.98	3.65	-0.25		1.80
339-U1385D	339-U1385D-15H-5,54-55	145.69	1294.32	1289.09	1293.11	3.80	0.11		1.79
339-U1385D	339-U1385D-15H-5,55-56	145.70	1294.44	1289.18	1293.25	3.81	-0.05		1.49
339-U1385D	339-U1385D-15H-5,56-57	145.71	1294.57	1289.28	1293.38	3.42	0.02		1.69
339-U1385D	339-U1385D-15H-5,57-58	145.72	1294.70	1289.37	1293.52	3.68	0.29		1.66
339-U1385D	339-U1385D-15H-5,58-59	145.73	1294.83	1289.47	1293.65	3.43	0.00		1.43
339-U1385D	339-U1385D-15H-5,59-60	145.74	1294.95	1289.57	1293.78	3.75	0.30		1.51
339-U1385D	339-U1385D-15H-5,60-61	145.75	1295.08	1289.66	1293.92	3.84	0.35		1.36
339-U1385D	339-U1385D-15H-5,61-62	145.76	1295.21	1289.76	1294.05	3.89	0.39		1.23
339-U1385D	339-U1385D-15H-5,62-63	145.77	1295.33	1289.86	1294.19				1.32
339-U1385D	339-U1385D-15H-5,63-64	145.78	1295.46	1289.95	1294.32	3.79	0.37		1.30
339-U1385D	339-U1385D-15H-5,64-65	145.79	1295.59	1290.05	1294.46	3.96	-0.23		1.77
339-U1385D	339-U1385D-15H-5,65-66	145.80	1295.71	1290.14	1294.59	3.71	0.37		1.78
339-U1385D	339-U1385D-15H-5,66-67	145.81	1295.84	1290.24	1294.73	3.74	0.08		2.10
339-U1385D	339-U1385D-15H-5,67-68	145.82	1295.97	1290.34	1294.86	3.83	0.18		1.97
339-U1385D	339-U1385D-15H-5,68-69	145.83	1296.09	1290.43	1295.00	3.76	0.17		1.69
339-U1385D	339-U1385D-15H-5,69-70	145.84	1296.22	1290.53	1295.13	3.83	0.41		1.59
339-U1385D	339-U1385D-15H-5,70-71	145.85	1296.35	1290.63	1295.27	3.68	0.40		1.40
339-U1385D	339-U1385D-15H-5,71-72	145.86	1296.47	1290.72	1295.40	3.80	0.39		1.33
339-U1385D	339-U1385D-15H-5,72-73	145.87	1296.60	1290.82	1295.54	3.74	0.48		1.35
339-U1385D	339-U1385D-15H-5,73-74	145.88	1296.73	1290.91	1295.67	3.73	0.24		1.28
339-U1385D	339-U1385D-15H-5,74-75	145.89	1296.85	1291.01	1295.81	3.68	0.37		1.26
339-U1385D	339-U1385D-15H-5,75-76	145.90	1296.98	1291.11	1295.94				1.34
339-U1385D	339-U1385D-15H-5,76-77	145.91	1297.11	1291.20	1296.08	3.82	0.41		1.52
339-U1385D	339-U1385D-15H-5,77-78	145.92	1297.24	1291.30	1296.21	3.78	0.31		1.17
339-U1385D	339-U1385D-15H-5,78-79	145.93	1297.36	1291.40	1296.35	3.70	0.22		1.38
339-U1385D	339-U1385D-15H-5,79-80	145.94	1297.49	1291.49	1296.48			3.83	1.31
339-U1385D	339-U1385D-15H-5,80-81	145.95	1297.62	1291.59	1296.62	3.73	0.32		1.50
339-U1385D	339-U1385D-15H-5,81-82	145.96	1297.74	1291.68	1296.75	3.60	0.33		1.21
339-U1385D	339-U1385D-15H-5,82-83	145.97	1297.87	1291.78	1296.89				1.30
339-U1385D	339-U1385D-15H-5,83-84	145.98	1298.00	1291.88	1297.02	3.63	0.14		1.34
339-U1385D	339-U1385D-15H-5,84-85	145.99	1298.12	1291.97	1297.09	3.65	0.17		1.56
339-U1385D	339-U1385D-15H-5,85-86	146.00	1298.25	1292.07	1297.17	3.60	0.30		1.52
339-U1385D	339-U1385D-15H-5,86-87	146.01	1298.32	1292.16	1297.24				1.74
339-U1385D	339-U1385D-15H-5,87-88	146.02	1298.38	1292.26	1297.31	3.61	0.22		1.57
339-U1385D	339-U1385D-15H-5,88-89	146.03	1298.45	1292.36	1297.38	3.82	-0.05		1.91
339-U1385D	339-U1385D-15H-5,89-90	146.04	1298.51	1292.45	1297.46	3.38	-0.08		2.10
339-U1385D	339-U1385D-15H-5,90-91	146.05	1298.58	1292.55	1297.53	3.71	-0.10		2.13
339-U1385D	339-U1385D-15H-5,91-92	146.06	1298.65	1292.65	1297.60	3.78	-0.24		2.37
339-U1385D	339-U1385D-15H-5,92-93	146.07	1298.71	1292.74	1297.68	3.70	-0.27		2.10
339-U1385D	339-U1385D-15H-5,93-94	146.08	1298.78	1292.84	1297.75	3.82	-0.09		2.27
339-U1385D	339-U1385D-15H-5,94-95	146.09	1298.84	1292.93	1297.82	3.92	-0.18		2.51
339-U1385D	339-U1385D-15H-5,95-96	146.10	1298.91	1293.03	1297.90			3.87	2.30
339-U1385D	339-U1385D-15H-5,96-97	146.11	1298.98	1293.13	1297.97	3.88	-0.07		2.28
339-U1385D	339-U1385D-15H-5,97-98	146.12	1299.04	1293.22	1298.04	3.93	0.54		2.03
339-U1385D	339-U1385D-15H-5,97-98	146.13	1299.11	1293.32	1298.11				1.80
339-U1385D	339-U1385D-15H-5,99-100	146.14	1299.17	1293.42	1298.19				1.62
339-U1385D	339-U1385D-15H-5,100-101	146.15	1299.24	1293.51	1298.26	3.74	-0.04		1.81
339-U1385D	339-U1385D-15H-5,101-102	146.16	1299.30	1293.61	1298.33	3.62	0.69		1.80
339-U1385D	339-U1385D-15H-5,102-103	146.17	1299.37	1293.70	1298.41	3.82	0.68		1.70
339-U1385D	339-U1385D-15H-5,103-104	146.18	1299.44	1293.80	1298.48	3.67	0.66		1.55
339-U1385D	339-U1385D-15H-5,104-105	146.19	1299.50	1293.90	1298.55	3.78	0.10		1.75
339-U1385D	339-U1385D-15H-5,105-106	146.20	1299.57	1293.99	1298.62	3.82	0.29		1.98
339-U1385D	339-U1385D-15H-5,106-107	146.21	1299.63	1294.09	1298.70	3.55	0.75		1.63
339-U1385D	339-U1385D-15H-5,107-108	146.22	1299.70	1294.19	1298.77	3.57	0.68		1.62
339-U1385D	339-U1385D-15H-5,108-109	146.23	1299.77	1294.28	1298.84				1.43
339-U1385D	339-U1385D-15H-5,109-110	146.24	1299.83	1294.38	1298.92	3.56	0.27		1.62
339-U1385D	339-U1385D-15H-5,110-111	146.25	1299.90	1294.47	1298.99	3.71	0.33		1.82
339-U1385D	339-U1385D-15H-5,111-112	146.26	1299.96	1294.57	1299.06	3.18	0.01		1.71
339-U1385D	339-U1385D-15H-5,112-113	146.27	1300.03	1294.67	1299.14	3.63	0.28		
339-U1385D	339-U1385D-15H-5,113-114	146.28	1300.10	1294.76	1299.21	3.70	0.58		1.62
339-U1385D	339-U1385D-15H-5,114-115	146.29	1300.16	1294.86	1299.28	3.64	0.27		1.83
339-U1385D	339-U1385D-15H-5,115-116	146.30	1300.23	1294.96	1299.35	3.35	0.34		1.53
339-U1385D	339-U1385D-15H-5,116-117	146.31	1300.29	1295.05	1299.43	3.63	0.54		2.05
339-U1385D	339-U1385D-15H-5,117-118	146.32	1300.36	1295.15	1299.50	3.33	0.14		2.00
339-U1385D	339-U1385D-15H-5,118-119	146.33	1300.43	1295.24	1299.57	3.50	0.37		1.97
339-U1385D	339-U1385D-15H-5,119-120	146.34	1300.49	1295.34	1299.65	3.59	0.26		2.20
339-U1385D	339-U1385D-15H-5,120-121	146.35	1300.56	1295.44	1299.72	3.63	0.31		1.93
339-U1385D	339-U1385D-15H-5,121-122	146.36	1300.62	1295.53	1299.79	3.78	0.54		2.33
339-U1385D	339-U1385D-15H-5,122-123	146.37	1300.69	1295.63	1299.87	3.45	0.58		2.23
339-U1385D	339-U1385D-15H-5,123-124	146.38	1300.76	1295.72	1299.94	3.76	0.57		1.99
339-U1385D	339-U1385D-15H-5,124-125	146.39	1300.82	1295.82	1300.01	3.58	0.47		1.76
339-U1385D	339-U1385D-15H-5,125-126	146.40	1300.89	1295.92	1300.08	3.46	0.49		1.69
339-U1385D	339-U1385D-15H-5,126-127	146.41	1300.95	1296.01	1300.16	3.64	0.34		1.78
339-U1385D	339-U1385D-15H-5,127-128	146.42	1301.02	1296.11	1300.23	3.41	0.18		2.21
339-U1385D	339-U1385D-15H-5,128-129	146.43	1301.08	1296.21	1300.30	3.48	0.38		2.33
339-U1385D	339-U1385D-15H-5,129-130	146.44	1301.15	1296.30	1300.38	3.58	0.65		2.07
339-U1385D	339-U1385D-15H-5,130-131	146.45	1301.22	1296.40	1300.45	3.64	0.35		2.12
339-U1385D	339-U1385D-15H-5,131-132	146.46	1301.28	1296.49	1300.52	3.64	0.53		1.59
339-U1385D	339-U1385D-15H-5,132-133	146.47	1301.35	1296.59	1300.59	3.66	0.56		1.63
339-U1385D	339-U1385D-15H-5,133-134	146.48	1301.41	1296.69	1300.67	3.47	0.45		1.30
339-U1385D	339-U1385D-15H-5,134-135	146.49	1301.48	1296.78	1300.74	3.20	0.37		1.40
339-U1385D	339-U1385D-15H-5,135-136	146.50	1301.55	1296.88	1300.81	3.40	0.40		1.35
339-U1385D	339-U1385D-15H-5,136-137	146.51	1301.61	1296.98	1300.89	3.59	0.12		1.69
339-U1385D	339-U1385D-15H-5,137-138	146.52	1301.68	1297.07	1300.96	3.43	0.37		1.68
339-U1385D	339-U1385D-15H-5,138-139	146.53	1301.74	1297.17	1301.03				1.69
339-U1385D	339-U1385D-15H-5,139-140	146.54	1301.81	1297.26	1301.11	3.26	0.17		2.00
339-U1385D	339-U1385D-15H-5,140-141	146.55	1301.88	1297.36	1301.18	3.72	0.04		1.87
339-U1385D	339-U1385D-15H-5,141-142	146.56	1301.94	1297.46	1301.25	3.38	0.02		1.88
339-U1385D	339-U1385D-15H-5,142-143	146.57	1302.01	1297.55	1301.32	3.22	0.16		1.63
339-U1385D	339-U1385D-15H-5,143-144	146.58	1302.07	1297.65	1301.40	3.32	-0.15		
339-U1385D	339-U1385D-15H-5,144-145	146.59	1302.14	1297.75	1301.47	3.40	0.26		1.97
339-U1385D	339-U1385D-15H-5,145-146	146.60	1302.21	1297.84	1301.54	3.31	-0.09		1.61
339-U1385D	339-U1385D-15H-5,146-147	146.61	1302.27	1297.94	1301.62	3.50	0.23		1.99
339-U1385D	339-U1385D-15H-5,147-148	146.62	1302.34	1298.03	1301.69	3.45	-0.10		2.09
339-U1385D	339-U1385D-15H-5,148-149	146.63	1302.40	1298.13	1301.76			3.88	2.12
339-U1385D	339-U1385D-15H-5,149-150	146.64	1302.47	1298.23	1301.83	3.33	0.06		2.18
339-U1385D	339-U1385D-15H-5,150-151	146.65	1302.54	1298.32	1301.91	3.83	0.23		2.26
339-U1385D	339-U1385D-15H-5,151-152	146.66	1302.60	1298.42	1301.98			3.60	2.31
339-U1385D	339-U1385D-15H-6,0-1	146.68	1302.73	1298.61	1302.13	3.76	0.35		1.69
339-U1385D	339-U1385D-15H-6,1-2	146.69	1302.80	1298.71	1302.20	3.76	0.21		1.80
339-U1385D	339-U1385D-15H-6,2-3	146.70	1302.86	1298.80	1302.27	3.57	0.39		1.58
339-U1385D	339-U1385D-15H-6,3-4	146.71	1302.93	1298.90	1302.35	3.66	0.50		1.57
339-U1385D	339-U1385D-15H-6,4-5	146.72	1303.00	1299.00	1302.42	3.65	0.19		1.72
339-U1385D	339-U1385D-15H-6,5-6	146.73	1303.06	1299.09	1302.49	3.48	0.28		1.46
339-U1385D	339-U1385D-15H-6,6-7	146.74	1303.13	1299.19	1302.56	3.71	0.24		2.23
339-U1385D	339-U1385D-15H-6,7-8	146.75	1303.19	1299.28	1302.64	3.55	0.09		2.00
339-U1385D	339-U1385D-15H-6,8-9	146.76	1303.26	1299.38	1302.71			3.49	1.98
339-U1385D	339-U1385D-15H-6,9-10	146.77	1303.33	1299.48	1302.78	3.60	0.31		2.11
339-U1385D	339-U1385D-15H-6,10-11	146.78	1303.39	1299.57	1302.86				2.28
339-U1385D	339-U1385D-15H-6,11-12	146.79	1303.46	1299.67	1302.93	3.47	0.27		2.15
339-U1385D	339-U1385D-15H-6,12-13	146.80	1303.52	1299.77	1303.00	3.54	0.10		2.24
339-U1385D	339-U1385D-15H-6,13-14	146.81	1303.59	1299.86	1303.08	3.64	0.16		2.33
339-U1385D	339-U1385D-15H-6,14-15	146.82	1303.66	1299.96	1303.15	3.54	0.14		2.26
339-U1385D	339-U1385D-15H-6,15-16	146.83	1303.72	1300.05	1303.22	3.42	0.14		2.24
339-U1385D	339-U1385D-15H-6,16-17	146.84	1303.79	1300.15	1303.29	3.59	0.10		2.38
339-U1385D	339-U1385D-15H-6,17-18	146.85	1303.85	1300.25	1303.37				2.07
339-U1385D	339-U1385D-15H-6,18-19	146.86	1303.92	1300.34	1303.44	3.54	0.05		1.80
339-U1385D	339-U1385D-15H-6,19-20	146.87	1303.99	1300.44	1303.51	3.57	0.04		2.58
339-U1385D	339-U1385D-15H-6,20-21	146.88	1304.05	1300.54	1303.59	3.95	0.14		2.25
339-U1385D	339-U1385D-15H-6,21-22	146.89	1304.12	1300.63	1303.66	3.55	0.39		2.60
339-U1385D	339-U1385D-15H-6,22-23	146.90	1304.18	1300.73	1303.73				2.47
339-U1385D	339-U1385D-15H-6,23-24	146.91	1304.25	1300.82	1303.80	3.69	0.49		2.45
339-U1385D	339-U1385D-15H-6,24-25	146.91	1304.25	1300.82	1303.80				2.43
339-U1385D	339-U1385D-15H-6,25-26	146.92	1304.32	1300.92	1303.88	3.55	0.28		2.37
339-U1385D	339-U1385D-15H-6,26-27	146.93	1304.38	1301.02	1303.95				2.37
339-U1385D	339-U1385D-15H-6,27-28	146.94	1304.45	1301.11	1304.02	3.39	0.15		2.33
339-U1385D	339-U1385D-15H-6,28-29	146.94	1304.45	1301.11	1304.02	3.70	0.25		2.38
339-U1385D	339-U1385D-15H-6,29-30	146.95	1304.51	1301.21	1304.10	3.57	0.18		1.82
339-U1385D	339-U1385D-15H-6,30-31	146.96	1304.58	1301.31	1304.17	3.59	0.45		1.40
339-U1385D	339-U1385D-15H-6,31-32	146.97	1304.64	1301.40	1304.24	3.58	0.22		1.67
339-U1385D	339-U1385D-15H-6,32-33	146.97	1304.64	1301.40	1304.24	3.73	0.46		1.34
339-U1385D	339-U1385D-15H-6,33-34	146.98	1304.71	1301.50	1304.32	3.76	0.22		1.44
339-U1385D	339-U1385D-15H-6,34-35	146.99	1304.78	1301.59	1304.39	3.65	0.59		1.31
339-U1385D	339-U1385D-15H-6,35-36	146.99	1304.78	1301.59	1304.39	3.90	0.46		1.30
339-U1385D	339-U1385D-15H-6,36-37	147.00	1304.84	1301.69	1304.46	3.75	0.65		1.39
339-U1385D	339-U1385D-15H-6,37-38	147.01	1304.91	1301.79	1304.53	3.47	0.69		1.30
339-U1385D	339-U1385D-15H-6,38-39	147.02	1304.97	1301.88	1304.61	3.58	0.45		1.41
339-U1385D	339-U1385D-15H-6,39-40	147.02	1304.97	1301.88	1304.61	3.61	0.49		1.40
339-U1385D	339-U1385D-15H-6,40-41	147.03	1305.04	1301.98	1304.68	3.50	0.64		1.24
339-U1385D	339-U1385D-15H-6,41-42	147.04	1305.11	1302.08	1304.75	3.32	0.67		1.36
339-U1385D	339-U1385D-15H-6,42-43	147.04	1305.11	1302.08	1304.75				1.53
339-U1385D	339-U1385D-15H-6,43-44	147.05	1305.17	1302.17	1304.83	3.50	0.51		1.65
339-U1385D	339-U1385D-15H-6,44-45	147.06	1305.24	1302.27	1304.90	3.56	0.49		1.70
339-U1385D	339-U1385D-15H-6,45-46	147.07	1305.30	1302.36	1304.97	3.59	0.44		1.40
339-U1385D	339-U1385D-15H-6,46-47	147.07	1305.30	1302.36	1304.97	3.62	0.72		1.56
339-U1385D	339-U1385D-15H-6,47-48	147.08	1305.37	1302.46	1305.04	3.59	0.64		1.72
339-U1385D	339-U1385D-15H-6,48-49	147.09	1305.44	1302.56	1305.12	3.40	0.52		1.34
339-U1385D	339-U1385D-15H-6,49-50	147.10	1305.50	1302.65	1305.19	3.09	-0.05		2.11
339-U1385D	339-U1385D-15H-6,50-51	147.10	1305.50	1302.65	1305.19			3.47	1.92
339-U1385D	339-U1385D-15H-6,51-52	147.11	1305.57	1302.75	1305.26			3.53	2.07
339-U1385D	339-U1385D-15H-6,52-53	147.12	1305.63	1302.84	1305.34	3.67	0.22		2.25
339-U1385D	339-U1385D-15H-6,53-54	147.12	1305.63	1302.84	1305.34				2.13
339-U1385D	339-U1385D-15H-6,54-55	147.13	1305.70	1302.94	1305.41	3.64	0.16		2.21
339-U1385D	339-U1385D-15H-6,55-56	147.14	1305.77	1303.04	1305.48	3.54	0.20		1.92
339-U1385D	339-U1385D-15H-6,56-57	147.15	1305.83	1303.13	1305.56	3.36	0.64		1.46
339-U1385D	339-U1385D-15H-6,57-58	147.15	1305.83	1303.13	1305.56	3.63	-0.10		1.61
339-U1385D	339-U1385D-15H-6,58-59	147.16	1305.90	1303.23	1305.63			3.47	1.93
339-U1385D	339-U1385D-15H-6,59-60	147.17	1305.96	1303.33	1305.70	2.92	0.05		2.27
339-U1385D	339-U1385D-15H-6,60-61	147.17	1305.96	1303.33	1305.70	3.37	0.36		1.89
339-U1385D	339-U1385D-15H-6,61-62	147.18	1306.03	1303.42	1305.77	3.24	0.23		2.02
339-U1385D	339-U1385D-15H-6,62-63	147.19	1306.10	1303.52	1305.85	3.10	0.21		2.31
339-U1385D	339-U1385D-15H-6,63-64	147.20	1306.16	1303.61	1305.92				2.33
339-U1385D	339-U1385D-15H-6,64-65	147.20	1306.16	1303.61	1305.92				2.28
339-U1385D	339-U1385D-15H-6,65-66	147.21	1306.23	1303.71	1305.99	3.59	0.09		1.81
339-U1385D	339-U1385D-15H-6,66-67	147.22	1306.29	1303.81	1306.07			3.45	1.93
339-U1385D	339-U1385D-15H-6,67-68	147.23	1306.36	1303.90	1306.14	3.53	0.27		1.99
339-U1385D	339-U1385D-15H-6,68-69	147.23	1306.36	1303.90	1306.14				2.19
339-U1385D	339-U1385D-15H-6,69-70	147.24	1306.43	1304.00	1306.21				2.11
339-U1385D	339-U1385D-15H-6,70-71	147.25	1306.49	1304.10	1306.28	3.32	0.24		2.19
339-U1385D	339-U1385D-15H-6,71-72	147.25	1306.49	1304.10	1306.28	3.39	0.19		1.98
339-U1385D	339-U1385D-15H-6,72-73	147.26	1306.56	1304.19	1306.36	3.69	0.73		1.74
339-U1385D	339-U1385D-15H-6,73-74	147.27	1306.62	1304.29	1306.43	2.80	0.08		2.16
339-U1385D	339-U1385D-15H-6,74-75	147.28	1306.69	1304.38	1306.50	3.55	0.66		1.36
339-U1385D	339-U1385D-15H-6,75-76	147.28	1306.69	1304.38	1306.50				1.26
339-U1385D	339-U1385D-15H-6,76-77	147.29	1306.75	1304.48	1306.58				1.34
339-U1385D	339-U1385D-15H-6,77-78	147.30	1306.82	1304.58	1306.65	3.67	0.52		1.24
339-U1385D	339-U1385D-15H-6,78-79	147.30	1306.82	1304.58	1306.65	3.71	0.76		1.22
339-U1385D	339-U1385D-15H-6,79-80	147.31	1306.89	1304.67	1306.72	3.32	0.78		1.24
339-U1385D	339-U1385D-15H-6,80-81	147.32	1306.95	1304.77	1306.80	3.56	0.56		1.18
339-U1385E	339-U1385E-16H-5,59-60	147.32	1306.95	1304.77	1306.80	3.91	1.12		1.60
339-U1385E	339-U1385E-16H-5,60-61	147.33	1307.02	1304.87	1306.87	3.79	1.03		1.31
339-U1385E	339-U1385E-16H-5,61-62	147.34	1307.08	1304.96	1306.94	3.58	0.23		1.29
339-U1385E	339-U1385E-16H-5,62-63	147.35	1307.15	1305.06	1307.01	3.35	0.62		1.14
339-U1385E	339-U1385E-16H-5,63-64	147.35	1307.15	1305.06	1307.01	3.35	0.85		1.04
339-U1385E	339-U1385E-16H-5,64-65	147.36	1307.22	1305.15	1307.09	3.24	0.76		1.20
339-U1385E	339-U1385E-16H-5,65-66	147.37	1307.28	1305.25	1307.16	3.46	0.51		0.92
339-U1385E	339-U1385E-16H-5,66-67	147.38	1307.35	1305.35	1307.23	3.35	0.66		1.21
339-U1385E	339-U1385E-16H-5,67-68	147.39	1307.41	1305.44	1307.31	3.56	0.67		1.02
339-U1385E	339-U1385E-16H-5,68-69	147.40	1307.48	1305.54	1307.38	3.45	0.33		1.45
339-U1385E	339-U1385E-16H-5,69-70	147.41	1307.55	1305.64	1307.45	3.38	0.74		1.54
339-U1385E	339-U1385E-16H-5,70-71	147.41	1307.55	1305.64	1307.45	3.41	0.61		1.42
339-U1385E	339-U1385E-16H-5,71-72	147.42	1307.61	1305.73	1307.53				1.21
339-U1385E	339-U1385E-16H-5,72-73	147.43	1307.68	1305.83	1307.60	3.50	0.71		1.45
339-U1385E	339-U1385E-16H-5,73-74	147.44	1307.74	1305.92	1307.67	3.23	0.65		1.41
339-U1385E	339-U1385E-16H-5,74-75	147.45	1307.81	1306.02	1307.74	3.62	0.68		1.40
339-U1385E	339-U1385E-16H-5,75-76	147.46	1307.88	1306.12	1307.82	3.59	0.78		1.23
339-U1385E	339-U1385E-16H-5,76-77	147.47	1307.94	1306.21	1307.89	3.28	0.97		1.37
339-U1385E	339-U1385E-16H-5,77-78	147.47	1307.94	1306.21	1307.89	3.47	0.48		1.33
339-U1385E	339-U1385E-16H-5,78-79	147.48	1308.01	1306.31	1307.96	3.47	0.76		1.08
339-U1385E	339-U1385E-16H-5,79-80	147.49	1308.07	1306.40	1308.04	3.55	0.78		1.17
339-U1385E	339-U1385E-16H-5,80-81	147.50	1308.14	1306.50	1308.11	3.49	0.73		1.19
339-U1385E	339-U1385E-16H-5,81-82	147.51	1308.21	1306.60	1308.18	3.41	0.65		1.26
339-U1385E	339-U1385E-16H-5,82-83	147.52	1308.27	1306.69	1308.25	3.48	0.84		1.14
339-U1385E	339-U1385E-16H-5,83-84	147.53	1308.34	1306.79	1308.33	3.35	0.70		1.19
339-U1385E	339-U1385E-16H-5,84-85	147.53	1308.34	1306.79	1308.33	3.40	0.65		1.08
339-U1385E	339-U1385E-16H-5,85-86	147.54	1308.40	1306.89	1308.40	3.45	0.83		0.92
339-U1385E	339-U1385E-16H-5,86-87	147.55	1308.47	1306.98	1308.47	3.46	0.88		1.27
339-U1385E	339-U1385E-16H-5,87-88	147.56	1308.53	1307.08	1308.55	3.41	0.79		1.21
339-U1385E	339-U1385E-16H-5,88-89	147.57	1308.60	1307.17	1308.62	3.37	0.83		1.04
339-U1385E	339-U1385E-16H-5,89-90	147.58	1308.67	1307.27	1308.69	3.28	0.87		1.17
339-U1385E	339-U1385E-16H-5,90-91	147.58	1308.67	1307.27	1308.69	3.29	0.92		0.97
339-U1385E	339-U1385E-16H-5,91-92	147.59	1308.73	1307.37	1308.77	3.26	0.85		1.16
339-U1385E	339-U1385E-16H-5,92-93	147.60	1308.80	1307.46	1308.84	3.03	0.71		1.02
339-U1385E	339-U1385E-16H-5,93-94	147.61	1308.86	1307.56	1308.91	3.28	0.78		0.92
339-U1385E	339-U1385E-16H-5,94-95	147.62	1308.93	1307.66	1308.98	3.38	0.77		1.05
339-U1385E	339-U1385E-16H-5,95-96	147.63	1309.00	1307.75	1309.06	3.17	0.74		0.84
339-U1385E	339-U1385E-16H-5,96-97	147.64	1309.06	1307.85	1309.13	3.30	0.87		0.90
339-U1385E	339-U1385E-16H-5,97-98	147.64	1309.06	1307.85	1309.13	3.34	0.82		0.96
339-U1385E	339-U1385E-16H-5,98-99	147.65	1309.13	1307.94	1309.20	3.32	0.75		1.02
339-U1385E	339-U1385E-16H-5,99-100	147.66	1309.19	1308.04	1309.28	3.23	0.78		1.17
339-U1385E	339-U1385E-16H-5,100-101	147.67	1309.26	1308.14	1309.35	3.24	0.89		0.95
339-U1385E	339-U1385E-16H-5,101-102	147.68	1309.33	1308.23	1309.42	3.28	0.81		1.00
339-U1385E	339-U1385E-16H-5,102-103	147.69	1309.39	1308.33	1309.49	3.13	0.78		0.96
339-U1385E	339-U1385E-16H-5,103-104	147.70	1309.46	1308.43	1309.57	2.94	0.92		1.21
339-U1385E	339-U1385E-16H-5,104-105	147.70	1309.46	1308.43	1309.57	3.32	0.92		0.94
339-U1385E	339-U1385E-16H-5,105-106	147.71	1309.52	1308.52	1309.64				0.90
339-U1385E	339-U1385E-16H-5,106-107	147.72	1309.59	1308.62	1309.71	3.27	0.81		0.98
339-U1385E	339-U1385E-16H-5,107-108	147.73	1309.66	1308.71	1309.79	3.23	0.81		1.01
339-U1385E	339-U1385E-16H-5,108-109	147.74	1309.72	1308.81	1309.86	3.05	0.83		1.20
339-U1385E	339-U1385E-16H-5,109-110	147.75	1309.79	1308.91	1309.93	3.03	0.70		1.14
339-U1385E	339-U1385E-16H-5,110-111	147.75	1309.79	1308.91	1309.93	3.19	0.91		0.89
339-U1385E	339-U1385E-16H-5,111-112	147.76	1309.85	1309.00	1310.01	3.27	0.85		0.87
