Event	Sample label	Depth corr cr [crmcd]	Age [ka BP]	Age opt [ka] (Option 1: insolation-tuned ag...)	Age opt [ka] (Option 2: Mediterranean-tuned...)	C. wuellerstorfi d18O [per mil PDB]	C. wuellerstorfi d13C [per mil PDB]	C. mundulus d18O [per mil PDB]	G. bulloides d18O [per mil PDB]
339-U1385D	339-U1385D-15H-3,32-33	142.42	1263.78	1264.15	1264.94	3.68	-0.11		2.09
339-U1385D	339-U1385D-15H-3,33-34	142.43	1263.85	1264.22	1265.01	3.62	-0.01		1.99
339-U1385D	339-U1385D-15H-3,34-35	142.44	1263.93	1264.29	1265.07	3.74	-0.09		2.03
339-U1385D	339-U1385D-15H-3,35-36	142.45	1264.01	1264.36	1265.14	3.67	-0.06		2.05
339-U1385D	339-U1385D-15H-3,36-37	142.46	1264.09	1264.43	1265.20	3.60	-0.02		2.14
339-U1385D	339-U1385D-15H-3,37-38	142.47	1264.16	1264.50	1265.27	3.14	0.15		2.01
339-U1385D	339-U1385D-15H-3,38-39	142.48	1264.24	1264.57	1265.33	3.82	0.43		1.70
339-U1385D	339-U1385D-15H-3,39-40	142.49	1264.32	1264.64	1265.40	3.56	0.44		1.27
339-U1385D	339-U1385D-15H-3,40-41	142.50	1264.40	1264.71	1265.46	3.54	0.35		1.30
339-U1385D	339-U1385D-15H-3,41-42	142.51	1264.47	1264.78	1265.53	3.66	0.49		1.84
339-U1385D	339-U1385D-15H-3,42-43	142.52	1264.55	1264.85	1265.59	3.63	0.13		1.80
339-U1385D	339-U1385D-15H-3,43-44	142.53	1264.63	1264.92	1265.66	3.64	0.15		1.95
339-U1385D	339-U1385D-15H-3,44-45	142.54	1264.71	1264.99	1265.72	3.52	0.23		1.42
339-U1385D	339-U1385D-15H-3,45-46	142.55	1264.78	1265.06	1265.79	3.73	0.29		1.59
339-U1385D	339-U1385D-15H-3,46-47	142.56	1264.86	1265.13	1265.86	3.62	0.40		1.99
339-U1385D	339-U1385D-15H-3,47-48	142.57	1264.94	1265.19	1265.92	3.58	0.14		2.12
339-U1385D	339-U1385D-15H-3,48-49	142.58	1265.02	1265.26	1265.99				1.98
339-U1385D	339-U1385D-15H-3,49-50	142.59	1265.09	1265.33	1266.05	3.79	0.03		2.01
339-U1385D	339-U1385D-15H-3,50-51	142.60	1265.17	1265.40	1266.12	3.65	0.43		2.27
339-U1385D	339-U1385D-15H-3,51-52	142.61	1265.25	1265.47	1266.18	3.65	0.54		2.35
339-U1385D	339-U1385D-15H-3,52-53	142.62	1265.33	1265.54	1266.25	3.46	0.29		2.24
339-U1385D	339-U1385D-15H-3,53-54	142.63	1265.41	1265.61	1266.31	3.58	0.07		2.10
339-U1385D	339-U1385D-15H-3,54-55	142.64	1265.48	1265.68	1266.38				2.01
339-U1385D	339-U1385D-15H-3,55-56	142.65	1265.56	1265.75	1266.44				2.04
339-U1385D	339-U1385D-15H-3,56-57	142.66	1265.64	1265.82	1266.51	3.54	0.22		1.51
339-U1385D	339-U1385D-15H-3,57-58	142.67	1265.72	1265.89	1266.57	3.43	0.50		1.48
339-U1385D	339-U1385D-15H-3,58-59	142.68	1265.79	1265.96	1266.64	3.53	0.58		1.72
339-U1385D	339-U1385D-15H-3,59-60	142.69	1265.87	1266.03	1266.70	3.75	0.32		1.80
339-U1385D	339-U1385D-15H-3,60-61	142.70	1265.95	1266.10	1266.77	3.43	0.65		1.83
339-U1385D	339-U1385D-15H-3,61-62	142.71	1266.03	1266.17	1266.84	3.64	0.58		1.81
339-U1385D	339-U1385D-15H-3,62-63	142.72	1266.10	1266.24	1266.90	3.50	0.53		
339-U1385D	339-U1385D-15H-3,63-64	142.73	1266.18	1266.31	1266.97	3.74	0.65		1.40
339-U1385D	339-U1385D-15H-3,64-65	142.74	1266.26	1266.38	1267.03	3.66	0.59		1.20
339-U1385D	339-U1385D-15H-3,65-66	142.75	1266.34	1266.45	1267.10	3.42	0.35		1.07
339-U1385D	339-U1385D-15H-3,66-67	142.76	1266.41	1266.51	1267.16	3.51	0.70		1.29
339-U1385D	339-U1385D-15H-3,67-68	142.77	1266.49	1266.58	1267.23				1.66
