Sample ID,Depth.m,Age.Ma,MgCa,B.Ca,d18O,d13C,notes
lear03_279,,5.0905,,,2.94,,
lear03_280,,5.3319,,,3.02,,
lear03_281,,5.8145,,,3.28,,
lear03_282,,5.8145,,,3.23,,
lear03_283,,6.0558,,,3.21,,
lear03_284,,6.0558,,,3.18,,
lear03_285,,6.2972,,,3.12,,
lear03_286,,6.7798,,,2.9,,
lear03_287,,7.0212,,,3.09,,
lear03_288,,7.2625,,,3,,
lear03_289,,8.0282,,,3.13,,
lear03_290,,8.7127,,,3.19,,
lear03_291,,9.4372,,,3.15,,
lear03_292,,10.177,,,3.04,,
lear03_293,,10.421,,,2.81,,
lear03_294,,11.161,,,2.92,,
