Age_ka,d18O,d13C,MgCa
279.5,4.31,-0.81,0.851
279.8,4.30,-0.84,0.858
280.4,,,1.010
280.8,3.98,-0.82,1.039
281.2,3.62,-1.27,0.991
281.7,4.25,-0.88,1.032
282.3,4.03,-0.95,0.950
282.7,,,1.096
283.3,4.18,-0.77,1.124
283.6,4.02,-0.76,
284.2,4.26,-1.05,1.073
285.1,4.17,-0.52,1.029
285.5,4.00,-0.44,1.186
286.1,4.04,-0.72,1.045
286.9,4.02,-0.77,1.184
287.2,3.92,-0.76,1.062
287.4,3.87,-0.72,
289.1,4.20,-0.80,1.072
289.3,4.03,-0.84,1.194
290.6,4.15,-1.10,1.258
290.8,4.26,-0.96,1.063
291.2,4.11,-0.93,1.070
292.7,4.28,-1.12,0.983
293.1,4.19,-1.00,1.170
293.7,,,0.995
294.4,4.47,-1.08,1.099
294.6,,,1.012
295.0,4.48,-1.00,0.845
296.6,4.11,-0.99,
297.8,4.40,-1.05,0.995
298.3,4.37,-1.03,
299.4,4.42,-1.05,
299.9,4.29,-0.86,0.962
301.1,4.63,-0.58,
301.6,4.15,-0.78,
303.2,4.11,-0.65,0.987
304.9,4.33,-0.91,1.099
306.0,4.24,-0.77,1.133
306.5,4.01,-0.83,1.030
308.1,4.16,-0.70,1.124
308.6,4.54,-0.78,0.992
309.8,3.98,-0.66,1.088
310.3,4.09,-0.83,1.004
311.1,3.96,-0.85,1.085
311.4,3.86,-0.84,1.153
312.6,3.97,-0.55,1.110
313.1,3.69,-0.91,1.216
314.4,3.81,-0.95,1.019
314.7,3.75,-0.83,1.049
316.0,4.02,-0.81,1.067
316.4,3.59,-0.94,1.134
317.7,3.85,-1.00,0.953
318.0,4.10,-0.77,1.140
319.9,,,1.088
320.4,3.88,-0.76,0.980
322.8,3.08,-0.25,1.248
323.5,,,1.110
325.2,3.57,-0.35,
325.9,,,1.223
327.6,3.39,-0.55,
328.3,,,1.108
330.0,3.32,-0.73,1.115
331.7,,,1.172
332.4,3.57,-0.88,
333.6,3.46,-0.84,1.184
334.6,4.03,-0.91,1.211
334.8,3.54,-0.61,1.038
335.3,,,1.141
335.5,4.39,-0.95,1.128
336.5,4.89,-1.12,1.115
337.2,4.67,-0.89,1.075
337.4,4.79,-1.17,0.965
338.2,,,1.015
338.4,4.78,-1.16,1.121
339.1,4.86,-1.22,0.942
339.4,5.23,-1.28,0.991
339.6,3.93,-1.11,1.138
340.3,5.12,-1.11,0.904
341.3,5.14,-1.22,0.973
342.0,4.77,-1.19,1.080
342.2,5.23,-1.19,0.938
343.0,5.16,-1.19,1.046
343.3,4.71,-1.07,0.974
343.7,5.09,-1.30,1.050
343.9,4.78,-1.24,1.141
344.5,5.03,-1.33,1.118
345.3,4.93,-1.29,1.065
345.9,4.64,-1.14,1.084
346.0,4.77,-1.03,
346.8,4.88,-1.31,1.011
347.2,,,0.986
347.6,4.97,-1.06,1.031
347.8,4.63,-1.08,1.109
348.4,4.78,-1.10,1.081
349.1,4.80,-1.20,1.032
349.7,4.75,-1.10,1.068
349.9,4.75,-1.24,1.045
350.7,4.74,-1.16,1.051
351.1,4.36,-1.09,0.982
351.4,4.64,-1.21,
351.6,4.43,-0.98,
352.2,4.79,-1.36,0.951
353.0,4.76,-1.31,1.026
353.2,4.18,-0.96,0.946
353.6,4.66,-1.25,1.063
353.8,4.83,-1.35,1.042
354.1,4.73,-1.33,1.113
355.3,4.73,-1.18,
356.7,,,1.014
357.2,4.70,-0.99,
358.6,,,0.983
359.2,4.79,-0.83,
360.5,,,1.071
361.1,4.41,-1.13,
363.2,4.39,-1.09,1.095
365.1,4.24,-0.92,
366.3,3.98,-1.06,0.913
366.9,4.22,-1.01,0.983
368.2,4.04,-1.31,0.866
368.8,4.34,-1.18,1.012
370.7,4.27,-1.18,
370.9,4.38,-1.03,
372.7,4.35,-0.60,
374.6,4.32,-0.93,
376.5,4.22,-0.98,1.107
378.4,4.36,-0.68,0.767
380.4,4.11,-0.77,
381.1,,,0.923
382.3,3.96,-0.37,0.982
384.2,3.93,-0.87,0.974
384.8,4.24,-0.08,0.961
386.1,3.93,-0.69,0.867
386.7,4.60,0.18,0.925
388.1,4.05,-0.52,1.158
388.8,,,0.923
389.6,4.34,-0.34,0.925
390.0,4.19,-0.67,0.974
392.0,4.07,-0.74,0.905
393.4,4.25,-0.43,1.007
394.7,4.04,-0.67,1.014
396.8,3.65,-0.39,1.066
398.5,3.30,-0.14,0.958
398.8,3.61,-0.51,0.993
400.2,3.52,-0.15,1.058
401.5,3.33,-0.36,1.181
402.2,3.23,-0.10,0.980
403.5,3.40,-0.18,1.121
406.9,3.21,-0.18,1.161
410.3,3.18,-0.27,1.288
412.3,3.31,-0.46,1.112
412.7,,,1.206
413.7,3.34,-0.42,1.204
415.0,3.50,-0.45,1.302
415.4,,,1.209
417.1,3.26,-0.06,
419.1,3.44,-0.47,1.128
419.4,,,1.169
420.5,3.78,-0.19,1.209
421.8,4.04,-0.29,1.198
422.5,,,1.210
423.8,3.88,-0.60,
427.2,4.75,-0.78,1.182
430.6,4.79,-0.96,1.015
432.6,5.21,-1.20,0.941
433.0,,,0.948
434.0,5.40,-1.29,
434.7,5.10,-1.43,0.895
435.8,5.24,-1.39,0.945
436.8,5.04,-1.50,0.984
437.5,5.22,-1.10,1.028
438.3,5.18,-1.41,0.921
438.6,5.22,-1.35,1.041
439.3,4.89,-1.11,0.957
440.0,5.12,-1.35,0.936
440.7,4.81,-1.07,0.870
441.1,5.15,-1.26,1.079
441.4,5.00,-1.23,0.917
442.2,4.99,-1.27,0.997
442.9,5.03,-1.15,1.037
443.6,5.01,-1.30,1.031
444.3,4.78,-0.99,1.017
444.6,5.01,-1.09,0.954
445.0,4.80,-1.00,0.933
445.7,5.00,-1.02,0.960
446.4,5.04,-1.38,0.971
447.1,4.91,-1.28,0.911
447.8,4.93,-1.27,1.015
448.2,5.01,-1.05,1.007
448.5,4.88,-1.15,1.045
449.2,4.76,-1.17,1.028
450.0,4.79,-1.11,1.108
450.7,4.89,-0.84,1.058
451.4,4.70,-1.10,1.121
451.7,4.84,-1.01,1.134
452.1,4.71,-1.13,1.171
452.8,4.67,-0.96,0.940
453.5,4.70,-1.32,1.105
454.2,4.70,-1.43,1.158
454.9,4.61,-1.20,1.005
455.6,4.60,-1.00,1.189
456.0,4.52,-0.99,1.078
456.3,4.58,-0.93,1.241
457.0,4.52,-1.06,1.109
457.8,4.66,-0.93,1.151
458.5,4.62,-0.99,1.166
459.2,4.60,-1.20,1.023
459.5,4.62,-1.25,1.023
459.9,4.82,-1.10,1.095
460.6,4.78,-1.06,0.996
461.3,4.83,-1.25,0.928
462.0,4.65,-0.87,1.010
462.7,4.61,-0.90,1.123
463.1,4.39,-0.61,0.995
463.4,4.49,-1.14,1.060
464.1,4.72,-1.07,0.951
464.8,4.37,-0.70,
465.2,4.62,-1.25,1.137
466.6,4.74,-0.85,1.142
468.0,4.73,-1.12,0.943
468.4,4.62,-1.07,1.089
468.7,4.53,-1.27,1.028
469.5,4.57,-1.11,0.991
470.2,4.65,-1.25,1.082
470.9,4.65,-1.05,1.136
