ID,Age_ka,d18O,MgCa
"339-U1385D-15H-2,85-86",1252.66,4.1,
"339-U1385D-15H-2,85-86",1252.66,,0.993
"339-U1385D-15H-2,86-87",1252.8,4.13,
"339-U1385D-15H-2,87-88",1252.93,4.14,
"339-U1385D-15H-2,88-89",1253.06,4.05,
"339-U1385D-15H-2,8-9",1242.46,2.68,
"339-U1385D-15H-2,89-90",1253.19,4.06,
"339-U1385D-15H-2,90-91",1253.33,4.06,
"339-U1385D-15H-2,90-91",1253.33,,1.082
"339-U1385D-15H-2,9-10",1242.59,2.54,
"339-U1385D-15H-2,91-92",1253.46,4.2,
"339-U1385D-15H-2,92-93",1253.59,4.13,
"339-U1385D-15H-2,93-94",1253.72,4.27,
"339-U1385D-15H-2,94-95",1253.86,4.22,
"339-U1385D-15H-2,95-96",1253.99,4.09,
"339-U1385D-15H-2,95-96",1253.99,,1.148
"339-U1385D-15H-2,95-96",1253.99,,1.101
"339-U1385D-15H-2,95-96",1253.99,,1.081
"339-U1385D-15H-2,96-97",1254.12,4.09,
"339-U1385D-15H-2,97-98",1254.26,3.99,
"339-U1385D-15H-2,98-99",1254.39,4.15,
"339-U1385D-15H-2,99-100",1254.52,3.97,
"339-U1385D-15H-3,0-1",1261.29,3.9,
"339-U1385D-15H-3,0-1",1261.29,,1.078
"339-U1385D-15H-3,100-101",1269.05,3.24,
"339-U1385D-15H-3,100-101",1269.05,,1.298
"339-U1385D-15H-3,10-11",1262.07,3.7,
"339-U1385D-15H-3,10-11",1262.07,,1.001
"339-U1385D-15H-3,101-102",1269.13,3.29,
"339-U1385D-15H-3,102-103",1269.21,3.11,
"339-U1385D-15H-3,103-104",1269.28,3.25,
"339-U1385D-15H-3,106-107",1269.52,3.05,
"339-U1385D-15H-3,107-108",1269.59,3.21,
"339-U1385D-15H-3,108-109",1269.67,3.33,
"339-U1385D-15H-3,109-110",1269.75,3.24,
"339-U1385D-15H-3,110-111",1269.83,3.04,
"339-U1385D-15H-3,111-112",1269.91,3.41,
"339-U1385D-15H-3,111-112",1269.91,,1.157
"339-U1385D-15H-3,11-12",1262.15,3.6,
"339-U1385D-15H-3,115-116",1270.22,3.28,
"339-U1385D-15H-3,117-118",1270.37,3.18,
"339-U1385D-15H-3,118-119",1270.45,3.2,
"339-U1385D-15H-3,119-120",1270.53,3.19,
"339-U1385D-15H-3,1-2",1261.37,3.8,
"339-U1385D-15H-3,120-121",1270.6,3.09,
"339-U1385D-15H-3,120-121",1270.6,,1.291
"339-U1385D-15H-3,12-13",1262.22,3.47,
"339-U1385D-15H-3,122-123",1270.76,3.42,
"339-U1385D-15H-3,124-125",1270.91,3.46,
"339-U1385D-15H-3,125-126",1270.99,3.42,
"339-U1385D-15H-3,127-128",1271.15,3.51,
"339-U1385D-15H-3,128-129",1271.22,3.55,
"339-U1385D-15H-3,129-130",1271.3,3.53,
"339-U1385D-15H-3,129-130",1271.3,,1.16
"339-U1385D-15H-3,130-131",1271.38,3.37,
"339-U1385D-15H-3,131-132",1271.46,3.43,
"339-U1385D-15H-3,13-14",1262.3,3.54,
"339-U1385D-15H-3,132-133",1271.53,3.44,
"339-U1385D-15H-3,133-134",1271.61,3.17,
"339-U1385D-15H-3,135-136",1271.77,3.01,
"339-U1385D-15H-3,137-138",1271.92,3.38,
"339-U1385D-15H-3,139-140",1272.08,3.43,
"339-U1385D-15H-3,141-142",1272.23,3.26,
"339-U1385D-15H-3,141-142",1272.23,,1.262
"339-U1385D-15H-3,14-15",1262.38,3.51,
"339-U1385D-15H-3,142-143",1272.31,3.07,
"339-U1385D-15H-3,144-145",1272.47,3.14,
"339-U1385D-15H-3,146-147",1272.62,3.43,
"339-U1385D-15H-3,147-148",1272.7,3.4,
"339-U1385D-15H-3,148-149",1272.78,3.13,
"339-U1385D-15H-3,149-150",1272.85,3.36,
"339-U1385D-15H-3,150-151",1272.93,3.35,
"339-U1385D-15H-3,151-152",1273.01,3.25,
"339-U1385D-15H-3,15-16",1262.46,3.42,
"339-U1385D-15H-3,16-17",1262.53,3.61,
"339-U1385D-15H-3,17-18",1262.61,3.61,
"339-U1385D-15H-3,18-19",1262.69,3.61,
"339-U1385D-15H-3,19-20",1262.77,3.43,
"339-U1385D-15H-3,20-21",1262.84,3.44,
"339-U1385D-15H-3,21-22",1262.92,3.08,
"339-U1385D-15H-3,22-23",1263,3.51,
"339-U1385D-15H-3,22-23",1263,,0.998
"339-U1385D-15H-3,22-23",1263,,1.106
"339-U1385D-15H-3,2-3",1261.45,3.82,
"339-U1385D-15H-3,23-24",1263.08,3.48,
"339-U1385D-15H-3,24-25",1263.16,3.64,
"339-U1385D-15H-3,25-26",1263.23,3.68,
"339-U1385D-15H-3,26-27",1263.31,3.73,
"339-U1385D-15H-3,27-28",1263.39,3.64,
"339-U1385D-15H-3,28-29",1263.47,3.65,
"339-U1385D-15H-3,29-30",1263.54,3.72,
"339-U1385D-15H-3,30-31",1263.62,3.69,
"339-U1385D-15H-3,30-31",1263.62,,1.158
"339-U1385D-15H-3,31-32",1263.7,3.62,
"339-U1385D-15H-3,32-33",1263.78,3.68,
"339-U1385D-15H-3,33-34",1263.85,3.62,
"339-U1385D-15H-3,3-4",1261.53,3.86,
"339-U1385D-15H-3,34-35",1263.93,3.74,
"339-U1385D-15H-3,35-36",1264.01,3.67,
"339-U1385D-15H-3,36-37",1264.09,3.6,
"339-U1385D-15H-3,37-38",1264.16,3.14,
"339-U1385D-15H-3,38-39",1264.24,3.82,
"339-U1385D-15H-3,39-40",1264.32,3.56,
"339-U1385D-15H-3,40-41",1264.4,3.54,
"339-U1385D-15H-3,40-41",1264.4,,1.163
"339-U1385D-15H-3,41-42",1264.47,3.66,
"339-U1385D-15H-3,42-43",1264.55,3.63,
"339-U1385D-15H-3,43-44",1264.63,3.64,
"339-U1385D-15H-3,44-45",1264.71,3.52,
"339-U1385D-15H-3,4-5",1261.6,3.8,
"339-U1385D-15H-3,45-46",1264.78,3.73,
"339-U1385D-15H-3,46-47",1264.86,3.62,
"339-U1385D-15H-3,47-48",1264.94,3.58,
"339-U1385D-15H-3,49-50",1265.09,3.79,
"339-U1385D-15H-3,50-51",1265.17,3.65,
